,Tweet_text,date,username,retweets,hashtags,uni_handle,compound,Sentiment
48,"Had gotten into BITS Pilani, knew how to code and build stuff, had launched, gotten over 500 users in six months, had the tenacity and ingenuity built from JEE preps and couple of years in engg degree.",2020-06-13 12:32:46+00:00,rahulchhabra07,0,,0.0,0.128,Positive
49,"Join un on Sunday, June 14, 2020, at 11:30 AM IST. Register @https://bit.ly/BPDCCS",2020-06-13 11:02:10+00:00,bitspilaniindia,2,,1.0,0.296,Positive
50,"""I'm legit bored and need someone new to talk to. Don't blame my friends, but it's not easy staying in touch when you're so far away. Any suggestions guys?"" -Bits Pilani",2020-06-13 10:26:13+00:00,FessionsBrown,0,,0.0,-0.6017,Negative
51,"""I don't want my prime college years to go away in this situation we are right now. I'm supposed to be doing college trips, having fun, discovering mew avenues, and not be stuck up for months. I don't think I can do this any longer. I'm almost dead."" -Bits Pilani",2020-06-13 08:19:39+00:00,FessionsBrown,0,,0.0,-0.0487,Neutral
52,"Career for M.Pharm, MSc in SERB-DST project at BITS Pilani https://goo.gl/fb/CTrsBw",2020-06-13 04:51:33+00:00,PharmaTutors,0,,0.0,0.0,Neutral
53,Bro is BITS PILANI a better university,2020-06-13 02:15:35+00:00,SaiAshish24143,0,,0.0,0.4404,Positive
54,It won't require rocket science to figure out how a private VIT college ranks better then most of the IIT's and even the premier BITS Pilani. You can easily search how reliable are NIRF rankings and can get how bogus they are because the rankings they produce are worthless.,2020-06-12 19:45:48+00:00,AkshayM28020220,0,,0.0,0.34,Positive
55,"""Any solution to boredom is eventually creating more boredom for me. That's where I'm right now"" -Bits Pilani",2020-06-12 19:10:28+00:00,FessionsBrown,0,,0.0,-0.101,Negative
56,NIRF INDIA RANKINGS 2020 #BITSPilani #Ranking #NIRF #BITSians,2020-06-12 17:18:25+00:00,bitspilaniindia,5,#BITSPilani #Ranking #NIRF #BITSians,1.0,0.0,Neutral
57,Applications are invited from suitable candidates for Junior Research Fellow(JRF) to work on the sponsored project by DST-SERB. More Details : https://www.bits-pilani.ac.in/Uploads/Pilani_Upload/Department_of_Pharmacy/JRF/Advertisement-for-JRF-in-CRG_SRCD-12-June-2020.pdf #BITSPilani #JRF #ResearchFellow #DepartmentofPharmacy,2020-06-12 16:56:30+00:00,bitspilaniindia,1,#BITSPilani #JRF #ResearchFellow #DepartmentofPharmacy,1.0,0.0,Neutral
58,Another BITS Start-up Joins the Unicorn Club Read More @https://bit.ly/3dWhjwN #BITSPilani #BITSians #BITSAlumniRelations,2020-06-12 16:38:32+00:00,bitspilaniindia,1,#BITSPilani #BITSians #BITSAlumniRelations,1.0,0.0,Neutral
59,"IIT Madras, Bombay, Kanpur, Delhi, and BITS Pilani campus should make up the top 5 in Engineering category.",2020-06-12 15:20:01+00:00,suyashvsingh,0,,0.0,0.2023,Positive
60,Register at https://bit.ly/2M1b4LS Take benefit of @NPC_INDIA_GOV #webinar on #Hazardous waste rules 16 on 26 June at 3 pm @PIB_India @PIBHyderabad @NITIAayog @nitpatna @mnitjofficial @BITSindriDhn @NITDurgapur @BITSPILANI @PIBMumbai @iitroorkee @PIBHRD @PIB_Panaji @IITKanpur,2020-06-12 14:59:14+00:00,SUMANMA67044762,32,#webinar #Hazardous,0.0,0.0516,Positive
61,"Among universities, improvements were made by Amrita Vidya Vishwapeetham (Rank 8 to 4), BITS-Pilani (from 23 to 15) and Jadavpur University (from 6 to 5). Aligarh Muslim University (AMU) slipped six spots to Rank 17. AMU also ranked lower at 31, as opposed to 18 in 2019. ",2020-06-12 14:00:02+00:00,TheSecondAngle,3,,0.0,0.0258,Neutral
62,lately my timeline has been full of all the folks that I went to college w i did not sign up for BITS Pilani twitter campus wtf,2020-06-12 13:51:50+00:00,navydish,0,,0.0,-0.5859,Negative
63,Thelisina athanu unnadu le IPE 98%+ BITS Pilani direct admission,2020-06-12 12:39:21+00:00,Janmanchi_,0,,0.0,0.0,Neutral
64,I believe Abhinav Asthana is a BITS Goa alumnus and not Pilani as mentioned. BUUUUUUT degree pe BITS Pilani aata hai so issokay this time ,2020-06-12 11:39:34+00:00,sangle_sankalp,0,,0.0,0.0,Neutral
65,"Get back together, BITS Pilani",2020-06-12 07:01:51+00:00,katyayani325,0,,0.0,0.0,Neutral
66,BITS Pilani not just an educational institution it is also a biodiversity park. Watch other side of BITS Pilani through my lens on instagram #anand_fotography @bitspilaniindia @BITSPILANI @BITSPilaniGoa @BITSPilaniDubai @photography @nat_geo_photo,2020-06-12 04:49:00+00:00,abhianandshek,1,#anand_fotography,0.0,0.0,Neutral
67,"3/ Engineering at BITS Pilani. Business school at IIMA. Summer internship + job offer at Goldman Sachs, New York. Never once did I stop to think: What if security was not equal to success? What is success anyway? And then, it started.",2020-06-12 04:06:54+00:00,kaushikmkj,1,,0.0,0.3098,Positive
68,"So amidst all this misleading rankingsl,where is 'education' which by all means should have been playing the most important role here. Deserving institutes like IIIT Hyderabad and BITS Pilani are not in the game because they are not in the Reservation game. #NIRFRankings2020",2020-06-12 04:02:51+00:00,asymptotic1691,0,#NIRFRankings2020,0.0,0.3111,Positive
69,"Alumnus like him, taking the BITS Pilani name to new heights with their achievements. @BITSPilaniGoa @bitspilaniindia",2020-06-11 20:09:50+00:00,nayan_rishabh,1,,0.0,0.3612,Positive
70,"Fabulous. The One nearest to this is Punjabi food. At BITS Pilani (Alumni Guest Hosue,) the Meal consisted of 45 Dishes. A Punjabi host, once served me 22 Curries for a ""Light Meal"" That's an amazing Passion!!",2020-06-11 19:31:51+00:00,RaviBopparaju,0,,0.0,0.8953,Positive
71,maybe that's why they're bits pilani hyderabad goa dubai campus?? cos they're in bits spread everywhere,2020-06-11 17:44:44+00:00,awwkash,0,,0.0,0.0,Neutral
72,"First of all, BITS Pilani hai, it is multicolor. ",2020-06-11 16:52:49+00:00,they_way_shh,0,,0.0,0.0,Neutral
73,"BITS Pilani is ranked lower that VIT, Anna and Thapar University?? @DrRPNishank WTF is that!! #IITMadras #NIRF #JNU",2020-06-11 14:38:00+00:00,suyashvsingh,0,#IITMadras #NIRF #JNU,0.0,-0.8261,Negative
74,Any dispute between Birlas and BJP ???? Year by year BITS pilani Ranking is going down ...........,2020-06-11 14:33:43+00:00,tejatechie1,0,,0.0,-0.5661,Negative
75,#FakeNIRF #CorruptNIRF #FakeRanking NIRF declared JMI on 28th position while BITs pilani and MNIT are on 30 and 35th place . JNU over BHU Please dont consume too much alcohol while deciding rankings. We need Rankings with 0 partiality @kartik45493905 @PiyushhhAgarwal,2020-06-11 14:25:27+00:00,Anshul1228,0,#FakeNIRF #CorruptNIRF #FakeRanking,0.0,0.3182,Positive
76,Oh God 3 years BITS PILANI! Does laptop and mobile OS are optimised in same pattern? Mi notebook has 8 gb ram but the ssd of that notebook has 3gbps read speed. Design and architecture of both Ram has hell heaven difference. You are comapring a laptop DDR4 ram to mobile LPDDR2? ,2020-06-11 14:02:14+00:00,abhistechlab,0,,0.0,-0.2964,Negative
77,"NIRF ranking is a big joke. BITS Pilani, one of the best engineering college in India ranked 30 whereas VIT ranked 15 and Amrita Vishwa Vidyapeetham ranked 20. #NIRFRankings2020",2020-06-11 13:44:14+00:00,siddhu1059,1,#NIRFRankings2020,0.0,0.7506,Positive
78,"In the 1st episode of #TheLeadersStudio, Prof. PB Venkataraman- Associate Dean, BITS Pilani, Hyderabad speaks about how students can access learning and education remotely for higher &amp; efficient results. ",2020-06-11 12:40:10+00:00,Mirum_In,0,#TheLeadersStudio,0.0,0.4215,Positive
79,Where is BITS ?? Funny list. No NIT can be ranked above Bits Pilani..,2020-06-11 11:42:37+00:00,mananxyz,0,,0.0,0.264,Positive
80,NIRF ranking 2020 announced by @HRDMinistry Only 2 Rajasthan institutions - BITS Pilani (@bitspilaniindia) &amp; Banasthali Vidyapeeth - in top 100. Bad news: no @RajGovOfficial institution from in the list. @BSBhatiInc @ashokgehlot51 take note. https://www.nirfindia.org/2020/UniversityRanking.html,2020-06-11 09:46:07+00:00,DrRakeshGoswami,2,,0.0,-0.5994,Negative
81,@bitsaa openPR Breaking in Google News: Proud to be BITSian Chandra Bhople Celebrating 35th Wedding Anniversary sketching away Lockdown Blues Unfulfilled dream in his life “would love to see BITS Pilani in top 100 in QS &amp; Times Higher Education Rankings.” ,2020-06-11 08:25:40+00:00,deannattu,0,,0.0,0.9001,Positive
82,openPR Breaking in Google News: Proud to be BITSian Chandra Bhople Celebrating 35th Wedding Anniversary sketching away Lockdown Blues Unfulfilled dream in his life “would love to see BITS Pilani in top 100 in QS &amp; Times Higher Education Rankings.” https://www.openpr.com/news/2072243/proud-to-be-bitsian-chandra-bhople-celebrating-35th-wedding,2020-06-11 08:24:51+00:00,deannattu,0,,0.0,0.9001,Positive
83,BITS Pilani Hyderabad Invites Application for Junior Research Fellow (JRF) Recruitment 2020 Junior Research Fellow (JRF): INR31000 ,2020-06-11 07:51:35+00:00,mysarkarinaukri,0,,0.0,0.0,Neutral
84,Beating BITS Pilani!,2020-06-11 03:06:29+00:00,rauindia,0,,0.0,-0.5093,Negative
85,"#QSRankings: While no Indian institution is among world’s top 100, 21 Indian universities and institutes have found a place among the world’s top 1000, as opposed to 25 last year. Private IoEs, BITS-Pilani and VIT are among four that have been dropped from the top 1000. ",2020-06-11 02:38:31+00:00,AnsuPHP,0,#QSRankings,0.0,0.296,Positive
86,@BITSAA Forget Global Rankings BITS Pilani - Better to Start with Local ,2020-06-10 23:56:10+00:00,deannattu,0,,0.0,0.25,Positive
87,"bits Pilani ,manipal don't have reservation, private company don't have reservation, jio university wont be having any kind of reservation what more do you want. I am from reserved category never made caste certificate ask any Chinese student they won't complain about democracy",2020-06-10 19:57:13+00:00,pkmkbzindabad,0,,0.0,0.3967,Positive
88,"Finally, BITS Pilani has dropped the bomb. Our 2nd semester exam is fully online proctored method, in 2 weeks time. Birla, neeyellam nallave irukka maatta...ippo, enakku thookam varadhe... #MTech #BITSPilani",2020-06-10 19:36:58+00:00,gnanasekarang,0,#MTech #BITSPilani,0.0,0.6124,Positive
89,"""Introducing Puranjay Chandel as GGI Policy Fellow 2020. Puranjay is a student at BITS Pilani, where he is..."" #Fellows #policy #BITS #government #consulting #WednesdayWisdom #Leaders #youth #changestartsnow #MakeADifference #life #social #IMPACT",2020-06-10 14:42:12+00:00,GlobalGovernan4,0,#Fellows #policy #BITS #government #consulting #WednesdayWisdom #Leaders #youth #changestartsnow #MakeADifference #life #social #IMPACT,0.0,0.0,Neutral
90,BITS Pilani #Hyderabad Latest Recruitment 2020 Apply Offline For JRF Posts: BITS Pilani… ,2020-06-10 13:52:07+00:00,latestGovtJobss,0,#Hyderabad,0.0,-0.128,Negative
91,"FACTOR ANALYSIS. Webinar by Prof. Haragopal Vajjha, Professor in Statistics, Dept. of Mathematics , BITS-Pilani, Hyderabad Campus. Monday, June 15, 3.00-4.30 PM Please Register here : https://forms.gle/RRkC585RjsVM83Jx9",2020-06-10 13:47:54+00:00,go_STATCRAFT,0,,0.0,0.3182,Positive
92,DRDO Funded Project Recruitment for Life Sciences at BITS Pilani http://dlvr.it/RYM0Jf,2020-06-10 12:09:32+00:00,biotecnika,0,,0.0,0.0,Neutral
93,"I don't know why people blame reservation bits Pilani don't have any reservation, private office also people should stop complaining instead pursue entrepreneurship it's best way to increase our gdp",2020-06-10 11:54:22+00:00,pkmkbzindabad,0,,0.0,0.2732,Positive
94,Log on to http://www.hcltechbee.com and step into India's 3rd largest IT company - HCL right after completing class XII. What's more you get the opportunity to pursue higher education from reputed universities such as BITS Pilani and SASTRA while working with global clients of HCL ,2020-06-10 11:34:55+00:00,SuyashDGandhi,0,,0.0,0.4215,Positive
95,Log on to http://www.hcltechbee.com and step into India's 3rd largest IT company - HCL right after completing class XII. What's more you get the opportunity to pursue higher education from reputed universities such as BITS Pilani and SASTRA while working with global clients HCL ,2020-06-10 11:21:12+00:00,Utkarsh28091,0,,0.0,0.4215,Positive
96,Log on to http://www.hcltechbee.com and step into India's 3rd largest IT company - HCL right after completing class XII. What's more you get the opportunity to pursue higher education from reputed universities such as BITS Pilani and SASTRA while working with global clients of HCL ,2020-06-10 11:18:37+00:00,yatikasavaria1,0,,0.0,0.4215,Positive
97,"Thanks to these clubs and societies of IIT Delhi, IIT Madras, IIT Kanpur, IIT BHU, IIT Roorkee, IIT Jodhpur, BITS Pilani, BITS Goa, NIT Kurukshetra, SSCBS, LHMC and Win India (a health initiative started by 22 IITs under the guidance of Mr. @SunielVShetty) ",2020-06-10 06:22:45+00:00,ReDockto,0,,0.0,0.7717,Positive
98,"Birla Institute of Technology and Science (BITS), Pilani, has released the schedule for the Birla Institute of Technology and Science Admission Test 2020, or BITSAT 2020 on its official website.#BITSAT #BITSAT2020 #BITSATexamschedule https://www.examaware.com/bitsat-2020-exam-schedule-released/",2020-06-10 04:55:45+00:00,Examaware,0,#BITSAT #BITSAT2020 #BITSATexamschedule,0.0,0.0,Neutral
99,"BITS-Pilani (announced IoE in July 2018) &amp; Vellore Institute of Technology (announced in Aug 2019) have been dropped from the top 1,000 univs. Last yr, they were placed in the 801-1000 band. (3/n)",2020-06-10 03:54:59+00:00,KhurafatiChopra,0,,0.0,0.2023,Positive
100,This issue has some neat 250km Home Road Trips (down South). Can't wait to hit the roads after we successfully flatten the curve (hopefully). @MirajHolmes @AntrikshJain29 I see many psenti-trip options for 2021 x fingers crossed. #BITSPilani #collegetrips,2020-06-09 17:04:23+00:00,amratanshuu,1,#BITSPilani #collegetrips,0.0,0.836,Positive
101,"Thank you to this fab gang of alumni - NLSIU Bangalore and BITS Pilani. With your donations, food was provided on shramik trains in India. @SShramiks Thanks again- from Team Akshaya Patra UK. #powerofyouth #coronavirus #MigrantLabourers #covidindia",2020-06-09 16:37:08+00:00,UKAkshayaPatra,0,#powerofyouth #coronavirus #MigrantLabourers #covidindia,0.0,0.836,Positive
102,Important Admission Updates 2020 IP University Jamia Hamdard University BITS Pilani National Law University Integral University #ggsipu #ipucet2020 #jamiahamdard #admission2020 #careerguidance #shikshaadvisor… https://www.instagram.com/p/CBNg5P2MHNU/?igshid=1czys2nuxeuyr,2020-06-09 10:34:30+00:00,AdvisorShiksha,3,#ggsipu #ipucet2020 #jamiahamdard #admission2020 #careerguidance #shikshaadvisor,0.0,0.2023,Positive
103,Poor network coverage of airtel in bits pilani town and nearby areas.Disapppointing to see @airtelindia @Airtel_Presence,2020-06-09 04:43:46+00:00,ManishG24057090,1,,0.0,-0.4767,Negative
104,Apply for HCL TechBee early career program to gain financial independence right after completing class XII and assured higher education with reputed institutes like BITS Pilani &amp; SASTRA University. http://www.hcltechbee.com #HCLTechBee #HCLTechnologies,2020-06-09 03:05:26+00:00,SBubbar,0,#HCLTechBee #HCLTechnologies,0.0,0.8126,Positive
105,"""I think I'm into women but I love my boyfriend too much to tell him"" -Bits Pilani",2020-06-08 21:11:04+00:00,FessionsBrown,0,,0.0,0.7783,Positive
106,Bias to Action https://vigneshraja.blogspot.com/2020/06/bias-to-action.html #bitspilani #fundraise #migrants #india #rehabilitation,2020-06-08 19:02:05+00:00,vigneshraja,0,#bitspilani #fundraise #migrants #india #rehabilitation,0.0,-0.1027,Negative
107,I am Carry's fan and a first year engineering student in BITS PILANI,2020-06-08 12:15:54+00:00,luckpathak55,0,,0.0,0.3182,Positive
108,"A leader not only in his work but outside of it, he has been one of the influential figures in education industry. #TheLeadersStudio is honored to host Prof. PB Venkataraman, Associate Dean, BITS Pilani, Hyd as one of the leaders on the panel Register Now: https://gourl.in/4qL6y",2020-06-08 11:49:19+00:00,Mirum_In,2,#TheLeadersStudio,0.0,0.8765,Positive
109,Apply for HCL TechBee early career program to gain financial independence right after completing class XII and assured higher education with reputed institutes like BITS Pilani &amp; SASTRA University. Log on-to http://www.hcltechbee.com to know more. #HCL #HCLTSS #COVID19 #University,2020-06-08 11:37:40+00:00,Qaif97,0,#HCL #HCLTSS #COVID19 #University,0.0,0.8126,Positive
