,Unnamed: 0,Topic,question,Followers,Answers,Ratio,Engagement potential,Last action,Parsed time,Question link,answers,compound,Sentiment,old_score,followers_n,engagement,sentiment_score
10,10,Indian-Institute-of-Technology-Madras-IITM,Will IIT Madras provide any type of internship or placement in bsc in programming and data science? After doing this course we required PG course in data science or not? Or bsc programming and data science it enough for a good job,3,1,3/1,No,Followed,2020-07-21,https://www.quora.com/Will-IIT-Madras-provide-any-type-of-internship-or-placement-in-bsc-in-programming-and-data-science-After-doing-this-course-we-required-PG-course-in-data-science-or-not-Or-bsc-programming-and-data-science-it-enough,"Scam Alert ! Since I have been pursuing my own AI research hence I can accurately answer this question. Since Indian engineering curriculum is 40 years old hence NO Indian building produces any skilled employable data scientist. Period.Since IITs are not any private engineering companies hence they cannot provide any internships. Internships are offered by private companies to learn to choose highly skilled employees from many job applicants.Since Indian engineering curriculum is 40 years old and also since Indian is not any industrialised country hence there is NO culture of internships in India.Less than 100 humans in India can answer all the answers relating to engineering internships in India because they have been reading and learning this post written by me after 10 years of research over Indian engineering curriculum.Presently NO building of the world is producing any skilled-employable data scientist, hence there is NO question of campus placement from any online degree from anywhere. IIT employs no professional data scientist hence there is NO question of getting world class guidance to their data science students.Data Science is a research arena of computer engineering and no degree from anywhere can guarantee any data science jobs.There is nothing called as BSc in Data Science, and all such scams are running by IIT professors because they simply want themselves to keep them employed at high salary at IITs because I have proved through my solid research that IITs are a scam in India and they would shut down soon.There is infinite demand of highly skilled data scientists in all the developed countries of the world, even without any school or college degrees. It would take about 6+ years of computer programming practice to become this much skilled for the industry: Praveen Kumar Singh's post in Computer engg. research",-0.9775,Negative,1,0.034482758620689655,1,1
11,11,Indian-Institute-of-Technology-Madras-IITM,What is the minimum cut off needed in CAT for MBA in IIT Madras?,0,1,0/1,No,Requested,2020-07-19,https://www.quora.com/What-is-the-minimum-cut-off-needed-in-CAT-for-MBA-in-IIT-Madras,"DoMS, IIT Madras is one of the best b schools to pursue MBA from, in terms of course fees and Return on Investment. The best you can look at it is by securing 95% in your CAT 2020 exam. However, the cut off shifts every year for IIT Madras but usually stays above than the said percentile, with some amount of weightage dedicated towards your academic background. For more information on CAT cut off, you can check out CAT Scholarship test 2021 to check how far are you from securing the same and how much of a projectile there is to cover. All the best. ",0.9468,Positive,5,0.0,0,5
12,12,Indian-Institute-of-Technology-Madras-IITM,How good is the IIT Madras Aerospace Engineering Department for a PhD?,2,1,2/1,No,Followed,2020-07-20,https://www.quora.com/How-good-is-the-IIT-Madras-Aerospace-Engineering-Department-for-a-PhD,"CAUTION!! The department has a lot of professors who wont allow students to graduate in 5 years or so!! Whenever you are looking to join a PhD, be sure that the average time spent by past PhD is less than 5 years and they have 2 or more papers to show for atleast. ",0.6126,Positive,5,0.022988505747126436,1,5
13,13,Indian-Institute-of-Technology-Madras-IITM,When will the IIT Madras online BSc degree applications open?,2,1,2/1,No,Followed,2020-07-16,https://www.quora.com/When-will-the-IIT-Madras-online-BSc-degree-applications-open," The dates are yet to be announced, although you can click on that red Notify Me button for the latest updates through your email. PS: During Exploring this I get to know that “IITs do not offer a degree in Bsc Physics or any Bsc for that matter. What they offer is Integrated Msc (5 years course) in Physics and other basic sciences which are highly prestigious and the admission process is the same as B.Tech that is through JEE advanced entrance exam.” Please Upvote if you find this useful : ) . ",0.7766,Positive,5,0.022988505747126436,1,5
14,14,Indian-Institute-of-Technology-Madras-IITM,"What are the best pictures, events, or anecdotes that depict life at IIT Bombay in the 70s and 80s?",87,1,87/1,Yes,Followed,2020-02-09,https://www.quora.com/What-are-the-best-pictures-events-or-anecdotes-that-depict-life-at-IIT-Bombay-in-the-70s-and-80s," Indira Gandhi at Convocation.  Main Building view from Ghatkopar hill.  First girl at Mechanical Lab    RD Burman and Asha Bhosle  Card Computing Hope it will help, thanks.. ",0.8176,Positive,5,1.0,1,5
15,15,Indian-Institute-of-Technology-Madras-IITM,"What is the required rank for Aerospace Engineering in IIT Mumbai, Kanpur, and Madras? I am a general candidate.",2,1,2/1,No,Followed,2020-07-15,https://www.quora.com/What-is-the-required-rank-for-Aerospace-Engineering-in-IIT-Mumbai-Kanpur-and-Madras-I-am-a-general-candidate,If you're rank is below 50.mostly you will get direct admission in one of the IITs .But if you get more than that some IITs will call for written and interview.There is no exact bar for written exam they may call up to 250 rank.if you perform well in written conducted by these IITs then you will get selected irrespective of your rank. I got selected in IIT Kanpur with an AIR 141 and I have also seen people above 200 AIR also getting selected.But if your AIR is Below 100 chances of getting selected are higher .Hope this answers helps. ,0.8519,Positive,5,0.022988505747126436,1,5
16,16,Indian-Institute-of-Technology-Madras-IITM,"What should I choose, IIT Indore for design or IIT Madras for ocean technology?",1,4,1/4,No,Followed,2020-07-15,https://www.quora.com/What-should-I-choose-IIT-Indore-for-design-or-IIT-Madras-for-ocean-technology,It solely depend on the goal you want to achieve in future. in the design course you will easily get a job in India or you can start your own business .While in case of ocean technology the scope of job in India is limited . Please choose wisely between the two and good luck for the future. Thanks:) ,0.9287,Positive,5,0.011494252873563218,0,5
17,17,Indian-Institute-of-Technology-Madras-IITM,"What should I choose, IIT Indore for design or IIT Madras for ocean technology?",1,4,1/4,No,Followed,2020-07-15,https://www.quora.com/What-should-I-choose-IIT-Indore-for-design-or-IIT-Madras-for-ocean-technology,"These are two completely different fields, so you should first be sure about which one of these are you really interested in, as one of them is a creative field, while the other is more on the scientific / technological field. Once you are sure about that, take the next step of accessing which institute is good for it. ",0.908,Positive,5,0.011494252873563218,0,5
18,18,Indian-Institute-of-Technology-Madras-IITM,Which one should be preferred from placement point of view IIT Madras communication or Guwahati VLSI?,2,1,2/1,No,Followed,2020-07-15,https://www.quora.com/Which-one-should-be-preferred-from-placement-point-of-view-IIT-Madras-communication-or-Guwahati-VLSI,"Go for IIT Guwahati VLSI.. IIT Madras is better IIT but then VLSI has much better scope than Communication if you want corporate job after MTech.. If you want to stick to only top 5 IITs, you can try for MS or IIT Bombay RA 3yrs MTech degree.. But stick to VLSI in any case.. ",0.836,Positive,5,0.022988505747126436,1,5
19,19,Indian-Institute-of-Technology-Madras-IITM,"When the companies come at IIT Madras, do they have a requirement for coding even for ECE MTechs?",1,1,1/1,No,Followed,2020-07-14,https://www.quora.com/When-the-companies-come-at-IIT-Madras-do-they-have-a-requirement-for-coding-even-for-ECE-MTechs,"This correct answer is in Indian context: There is nothing called as ECE in 2020, and it is a 60 years old term. Praveen Kumar Singh's answer to What is the scope and the salary of an ECE?There is NO demand of MTech degree holders in the industry and most of such degree holders remain jobless because Indian engineering curriculum is 40 years old. Praveen Kumar Singh's answer to Do IITs have good placement records for M.Tech students?I have solved the education and unemployment problem for Indian youth through my research on Indian education system.Since there are NO core private electronics engineering companies in India hence there is NO answer to this question.",-0.8014,Negative,1,0.011494252873563218,0,1
20,20,Indian-Institute-of-Technology-Madras-IITM,"Which one would be better for an MBA for a fresher, DoMS, IIT Madras, or IIM Amritsar?",1,1,1/1,No,Followed,2020-07-14,https://www.quora.com/Which-one-would-be-better-for-an-MBA-for-a-fresher-DoMS-IIT-Madras-or-IIM-Amritsar,"Neither. One is a technical school (why would you want to study management in a tech school ??) and the other is a so-called IIM hardly anybody has heard of. If you can’t get into the top 6 IIMs or SJMSOM (IIT-B), try a good state college which would be way better than both you have mentioned. And there are quite a few such - JBIMS, S. P. Jain in Mumbai, FMS, Delhi etc. Most developed states would have at least 1 good management college like the ones mentioned above, metros may have more. ",0.9129,Positive,5,0.011494252873563218,0,5
21,21,Indian-Institute-of-Technology-Madras-IITM,IIT Madras has launched Young Research Fellow (YRF) programme in 2020. How to apply for admissions? What honors will be recieved by the end of the course? Please help as details are not available anywhere.,5,1,5/1,Yes,Followed,2020-07-14,https://www.quora.com/IIT-Madras-has-launched-Young-Research-Fellow-YRF-programme-in-2020-How-to-apply-for-admissions-What-honors-will-be-recieved-by-the-end-of-the-course-Please-help-as-details-are-not-available-anywhere,"As I am from the same institute that you have mentioned, so I got mail regarding that from my institute .This Programme is only open to btech and dual degree students who are in their 5th semester, only for IITM students it is open, but do check our official website for confirmation for the same. ",0.0,Neutral,3,0.05747126436781609,1,3
22,22,Indian-Institute-of-Technology-Madras-IITM,Do non-core companies recruit M.Tech students at IIT B/M/D/KGP/K?,3,1,3/1,No,Followed,2020-07-13,https://www.quora.com/Do-non-core-companies-recruit-M-Tech-students-at-IIT-B-M-D-KGP-K,"Yes. They generally send out a notification mail with the job description, expectations and all eligible branches including those that are non core only if they think the non core branches have something that has in common with the job description. They don’t just call in randomly. It’s the general scenario. But core applicants may tend to have high priority over non core applicants for specifics jobs, I’m not sure. You need to prove when given the chance. ",0.228,Positive,4,0.034482758620689655,1,5
23,23,Indian-Institute-of-Technology-Madras-IITM,How is life at IISc different from life at IIT? Which is the best?,26,1,26/1,Yes,Followed,2020-04-08,https://www.quora.com/How-is-life-at-IISc-different-from-life-at-IIT-Which-is-the-best,"First of all someone would be highly lucky and smart to get a call from both of them. If they realize what they have in their hands they can change the world around.  The major difference lies in the reason of establishment itself that eventually lead to huge difference in both the institutions and their approach towards different things. IITs were established to provide finest technical manpower for building the nation. IISc was established by private bodies to conduct core research with focus on advancing the scientific capabilities of the country. Therefore these institutes provide Knowledge according to their fundamentals.You see hell lot of IITians in companies running there with a shiny life style and if you get a chance to go to IISc you feel the calm and focus without much shiny life style and a commitment to research and scientific advancements.IITs have several thousand students studying different streams of engineering to equip themselves to set in industry where as IISc have few students working towards high end research and get into research industries in the nation.Faculty Have a look onto any department faculty list in IISc and IITs, you would be amazed to see people who with noble laureates and few were nominated for noble prize too still love their lab and work in IISc. Popularity IISC is as popular as the IITs, in the academic circles. It is just not that much in the spotlight in media as the IITs. The number of IITs is 23, and there is only one IISC. So even if one IIT comes in news every day, the IITs automatically grab more spotlight. UG courses offered by IISC: 4-yr Bachelor of Science (Research Program) in Biology, Chemistry, Earth & Environmental Sciences, Materials, Mathematics, Physics. UG courses offered by IIT Delhi: 4-yr B.Tech program in Chemical Engineering, Civil Engineering, Computer Science & Engineering, Electrical EngineeringElectrical Engineering (Power), Engineering Physics, Mechanical Engineering, Production and Industrial Engineering, Textile Technology. Placements from IITs are well known in number and quality; Placements in the IISc are as good but they usually in higher positions in the firms as IISC produce the brainstorming research individuals. IIT pass outs go on to doing MBA degrees at IIM or top universities abroad. Some of them become entrepreneurs or top execs. IISc, being a postgraduate institution, produces candidates who then go on to become professors, researchers or Scientist. Hope it will help, thanks ",0.9838,Positive,5,0.2988505747126437,1,5
24,24,Indian-Institute-of-Technology-Madras-IITM,What is the cutoff for the CSE branch in IITM in the COAP round 4 of 2020?,2,1,2/1,No,Followed,2020-07-12,https://www.quora.com/What-is-the-cutoff-for-the-CSE-branch-in-IITM-in-the-COAP-round-4-of-2020,"On Facebook there is a group named as GATE OVERFLOW. It is only for cse people. You can easily get data of every round there. So just join the group, and get idea from there. ",0.5965,Positive,4,0.022988505747126436,1,5
25,25,Indian-Institute-of-Technology-Madras-IITM,Can an engineering student join his PhD in theoretical physics at IIT Madras after attaining the JEST exam?,1,1,1/1,No,Followed,2020-07-12,https://www.quora.com/Can-an-engineering-student-join-his-PhD-in-theoretical-physics-at-IIT-Madras-after-attaining-the-JEST-exam,"it depends on the branch of engineering, like if your branch is engineering physics so yes you can but if you are from computer science so you can join computational physics or from instrumental engineer go for experimental physics……. apart from this do not consider only for iit madras because there are many institutes which is far better in theoretical physics as compared to iit madras like TIFR, HRI, ICTS, JNCASR, NISER, IMSC, CMI, PRL ahemdabad, IPR gandhinagar, BOSE INSTITUTE, SNBNCBS, IACS etc. ",0.923,Positive,5,0.011494252873563218,0,5
26,26,Indian-Institute-of-Technology-Madras-IITM,What is it like to join IIT Madras (IITM) in 2021 in pandemic?,1,1,1/1,No,Followed,2020-07-12,https://www.quora.com/What-is-it-like-to-join-IIT-Madras-IITM-in-2021-in-pandemic,"Since your question is not clear whether you are asking for new admissions or existing ones. So I’ll answer for both cases. I’ll try to cover up both cases. Government has announced to conduct IIT JEE exam in September 2020. Because of uncertainty due to pandemic, the exam can be postponed further. Assuming exam happens in September only, students will be able to take admission by the end of 2020 mostly, as results and counseling will take around two months. First year students are accommodated in double shared rooms (Cauvery Hostel :)). But due to ongoing pandemic, this would not be possible. IIT Madras doesn’t have enough hostels to accommodate everyone single in rooms. Few weeks ago we received a mail stating some changes which will be made because of pandemic. I’m summarizing them in points. Whenever the students will be called, they will not be called all at once. Those doing research (Phd students) and projects (usually, MTech and Dual Degree students) will be called first. ,Thus second year and third year students will most probably continue their online classes (Yeah, even in 2021 even semester). First year will be given priority like phd and mtech students in calling to institute.Since the norms of social distancing has to be followed, the classes will be split in parts. Currently, for my batch, there are two classes- odd roll numbered and even roll numbered.My class was having two lab courses in odd semester 2020, but now they will get cancelled and will be conducted in one go (say, within 10 days) whenever we reach institute. Same trend will be followed in 2021.All the fun is gone: We had uncountable co curricular activities for people of diverse interest. Nothing will happen now. Even OAT (Open air theater) movies may not be displayed!!No Technical and Cultural Fest: No Shaashtra, No Saarang!! Find out on internet what they are! (Anyways I told it in heading… hahaha)IIT Madras students are very enthusiastic. Once students reach institute, students will try for projects creating solution to fight corona virus. (In really innovative ways).There are more ways in which pandemic will affect, I just listed down important ones. Give an UPVOTE if you want more answers about IIT MADRAS. Thanks :) ",0.9834,Positive,5,0.011494252873563218,0,5
27,27,Indian-Institute-of-Technology-Madras-IITM,Is it a good choice to do an MBA in IIT Madras after having 2 years of analytics experience?,2,2,2/2,No,Followed,2020-07-12,https://www.quora.com/Is-it-a-good-choice-to-do-an-MBA-in-IIT-Madras-after-having-2-years-of-analytics-experience,"Management specialization from a tech school? Certainly not? Would you want to eat Masala Dosa in a Chinese restaurant? Do it from an established management school, if you have to. Doesn’t matter if it is state-level. These institutions are also credible, even though they may not match up to the 6 established IIMs (FMS, Delhi, JBIMS, Mumbai etc.; there will be one good management institute in every developed state/city). ",0.6925,Positive,5,0.022988505747126436,1,5
28,28,Indian-Institute-of-Technology-Madras-IITM,Is it a good choice to do an MBA in IIT Madras after having 2 years of analytics experience?,2,2,2/2,No,Followed,2020-07-12,https://www.quora.com/Is-it-a-good-choice-to-do-an-MBA-in-IIT-Madras-after-having-2-years-of-analytics-experience,"Yes. I have met the faculty members if IIT Madras,Dept of Management. Operations is very good. So is Finance guys. I mean they should still be there. Go for it. Best luck ",0.92,Positive,5,0.022988505747126436,1,5
29,29,Indian-Institute-of-Technology-Madras-IITM,"How is the performance of IIT Madras Sakti processor when compared to the latest processors manufactured by Intel, AMD, Qualcomm?",14,2,14/2,Yes,Followed,2019-02-22,https://www.quora.com/How-is-the-performance-of-IIT-Madras-Sakti-processor-when-compared-to-the-latest-processors-manufactured-by-Intel-AMD-Qualcomm,"It's a very old design by today's standards. Think of it as a proof of concept/technological demo rather than a proper all round processor for the masses. The Shatki was designed back in 2014 when not all RISC-V extensions were finalised. Consequently, it lacks the compressed (RVC) features making it incompatible with current RISC-V distros. It is also fabbed on Intel's 22nm process and reaches 400MHz with a DMIPS/MHz ratio of 1.67. That's on par with an ARM Cortex-R4 realtime core from 2011 and slightly worse than a Cortex-A7 but significantly less complex as the Shakti lacks an FPU and SIMD i Continue ReadingIt's a very old design by today's standards. Think of it as a proof of concept/technological demo rather than a proper all round processor for the masses. The Shatki was designed back in 2014 when not all RISC-V extensions were finalised. Consequently, it lacks the compressed (RVC) features making it incompatible with current RISC-V distros. It is also fabbed on Intel's 22nm process and reaches 400MHz with a DMIPS/MHz ratio of 1.67. That's on par with an ARM Cortex-R4 realtime core from 2011 and slightly worse than a Cortex-A7 but significantly less complex as the Shakti lacks an FPU and SIMD instructions. ",-0.6386,Negative,1,0.16091954022988506,1,1
30,30,Indian-Institute-of-Technology-Madras-IITM,"How is the performance of IIT Madras Sakti processor when compared to the latest processors manufactured by Intel, AMD, Qualcomm?",14,2,14/2,Yes,Followed,2019-02-22,https://www.quora.com/How-is-the-performance-of-IIT-Madras-Sakti-processor-when-compared-to-the-latest-processors-manufactured-by-Intel-AMD-Qualcomm,Sakti processor cant be compared to latest amd or intel processors as they ar e made for high computing . Today we can get processors of around 2.5 to 3 ghz. Shakti is almost 1 ghz . This technology was achieved by intel in 2002 or 2003 . But sakti can be used for washing machine processing or such kind of processing where there is not much load .But its good thing that india also started making processors . In few years we may also compete amd or intel ,0.5927,Positive,4,0.16091954022988506,1,5
31,31,Indian-Institute-of-Technology-Madras-IITM,"Among MSc. Chemistry in IIT Madras and Int. PhD in Material Science from JNCASR, which is best for a student interested in research?",0,1,0/1,No,Requested,2020-07-11,https://www.quora.com/Among-MSc-Chemistry-in-IIT-Madras-and-Int-PhD-in-Material-Science-from-JNCASR-which-is-best-for-a-student-interested-in-research,"My advice: Go to IITM. I was also Int. PhD student at JNC. Course work is not rigorous as IIT, though research work is way better and you get exposure of research very early but I feel your basic needs to be strong.. ",0.7787,Positive,5,0.0,0,5
32,32,Indian-Institute-of-Technology-Madras-IITM,Should I apply for the Online BSc degree in programming & Data Science launched by IIT Madras?,5,1,5/1,Yes,Followed,2020-07-12,https://www.quora.com/Should-I-apply-for-the-Online-BSc-degree-in-programming-Data-Science-launched-by-IIT-Madras,"Don't join this programme just for degree because now no one see your degree weather you are from IIT or any other colleges, what matters today is skills that you have, interviewer will see skills that you have not a degree. This is true even during placements in IITs. So just try to learn stuff which enhance your skill sets no matter what is the source for that. I hope this will help. ",0.6529,Positive,5,0.05747126436781609,1,5
33,33,Indian-Institute-of-Technology-Madras-IITM,How should I prepare for an MS interview in civil engineering at IIT Madras? Should I prepare all the subjects or just the subject of research interest?,2,1,2/1,No,Followed,2020-07-11,https://www.quora.com/How-should-I-prepare-for-an-MS-interview-in-civil-engineering-at-IIT-Madras-Should-I-prepare-all-the-subjects-or-just-the-subject-of-research-interest,"I guess there would be a few specializations within Civil Engineering. So, whatever specialization you are appearing for; questions can be asked almost from anywhere within that. But, I have often seen/heard about questions being asked based on the Very Fundamentals (atleast in Mechanical Engineering; the case may be similar for Civil Engineering as well) ",0.3919,Positive,4,0.022988505747126436,1,5
