,Topic,question,Followers,Answers,Ratio,Engagement potential,Last action,Parsed time,Question link,answers
10,Vellore-Institute-of-Technology-Vellore,"Can I get admission in VIT or Thapar in ECE, I got 90.9% in PCM and 88percentile in boards?",2,1,2/1,No,Followed,2020-07-26,https://www.quora.com/Can-I-get-admission-in-VIT-or-Thapar-in-ECE-I-got-90-9-in-PCM-and-88percentile-in-boards,"Hii Naman, As we know that VIT and Thapar decided to take admission on the basis of 12th marks but preference should be given to Jee Mains qualified students. But here you haven’t mentioned your Jee Score so it’s very difficult to predict anything.. But only based on your 12th marks I don’t think you will get any branches in these colleges.. But don’t loose your hope keep expectations high it will encourage you because anything can be possible this year.. Hope this helps you.. All the best!!! "
11,Vellore-Institute-of-Technology-Vellore,"As the VITEEE exam is cancelled in 2020, what is the percentage needed in 12th to get admission?",1,1,1/1,No,Followed,2020-07-26,https://www.quora.com/As-the-VITEEE-exam-is-cancelled-in-2020-what-is-the-percentage-needed-in-12th-to-get-admission,"Hello, Since this is the first time VITEEE is being cancelled and admissions are taken on the basis of merits in class 12, it's very hard to determine the possibility as there are no prior data. You can apply for VITEEE till July 31, 2020. The authorities will prepare a merit list based on 12th merits and JEE mains qualified students will be given preference. If your name appears on the merit list you would have to visit the counseling center and verify your documents. So please wait till the merit list is out It’s very difficult to predict cutoff.. Hope this helps you.. All the best!!! "
12,Vellore-Institute-of-Technology-Vellore,I had 84.16 percentile in the JEE Mains (January) 2020 & in HSC I had 54 percentage. Can I get admission in VIT or SRM?,1,1,1/1,No,Followed,2020-07-26,https://www.quora.com/I-had-84-16-percentile-in-the-JEE-Mains-January-2020-in-HSC-I-had-54-percentage-Can-I-get-admission-in-VIT-or-SRM,"Hello prudent, You have done quite well in Jee mains but your 12th marks is too low and they already mentioned that on the weightage of both 12th and jee they will take admission so I don’t think you will get any branch in SRM… But don’t loose your hope you can still study there by taking admission through management quota… Hope this helps you… All the best!!! "
13,Vellore-Institute-of-Technology-Vellore,I have got 97.06 percentile in the January attempt of Mains and 89.3 % boards and 92% in PCM. Can I get CSE at VIT Vellore?,2,1,2/1,No,Followed,2020-07-26,https://www.quora.com/I-have-got-97-06-percentile-in-the-January-attempt-of-Mains-and-89-3-boards-and-92-in-PCM-Can-I-get-CSE-at-VIT-Vellore,"Hi keshav, you can get CSE in vit university at this percentile as your are very good and you fullfilling all the credential of VIT yeah but it very unpredictable that on which bracket of fees structure will be provide to you as Vit has 5 fees structure for every year both for VELLORE and CHENNAI. "
14,Vellore-Institute-of-Technology-Vellore,Is the VIT Chennai campus as good as Vellore?,5,1,5/1,Yes,Followed,2020-07-25,https://www.quora.com/Is-the-VIT-Chennai-campus-as-good-as-Vellore,Both the campuses are good as vellore campus is the main campus thus its a bit better than the chennai campus give a call on (seven eight nine two five five one nine six two ) or visit direct admission 360 in google to get in contact with the team they can help you out with all the necessary process without hazel .you get get a seat at your desired college jst contact them 
15,Vellore-Institute-of-Technology-Vellore,I've scored 74.15% in the boards. Can I get admission in VIT?,2,2,2/2,No,Followed,2020-07-25,https://www.quora.com/Ive-scored-74-15-in-the-boards-Can-I-get-admission-in-VIT,"Yes brother you can get easily into the college , you need not to apply for the entrance you can direct admission also jst give a call on (seven eight nine two five five one nine six two ) or visit direct admission 360 in google to get in contact with the team they can help you out with all the necesarry process without hazel they will help you with all the details to get into the college jst you need to appear the jee paper once with any percentile . "
16,Vellore-Institute-of-Technology-Vellore,I've scored 74.15% in the boards. Can I get admission in VIT?,2,2,2/2,No,Followed,2020-07-25,https://www.quora.com/Ive-scored-74-15-in-the-boards-Can-I-get-admission-in-VIT,"Hello prudent, At this score I don’t think you will get any branches in VIT vellore and Chennai campus because they already mentioned that preference should be given to Jee Mains qualified students.. But don’t loose your hope either you can take admission via Management quota or you can wait till result because it’s too early to predict anything right now.. Hope this helps you… All the best!!! "
17,Vellore-Institute-of-Technology-Vellore,I got 88% in the CBSE boards and 94.94 percentile in the JEE Mains January attempt. What are my chances of getting in VIT Vellore and which branch?,1,5,1/5,No,Followed,2020-07-25,https://www.quora.com/I-got-88-in-the-CBSE-boards-and-94-94-percentile-in-the-JEE-Mains-January-attempt-What-are-my-chances-of-getting-in-VIT-Vellore-and-which-branch,yes you can get the admission brother you need not to apply for the entrance you can direct admission also jst give a call on (seven eight nine two five five one nine six two ) or visit direct admission 360 in google to get in contact with the team they can help you out with all the necesarry process without hazel . jst go on google visit the site and contact in the details given you will get all the required information about the process . jst relax and stay safe 
18,Vellore-Institute-of-Technology-Vellore,I got 88% in the CBSE boards and 94.94 percentile in the JEE Mains January attempt. What are my chances of getting in VIT Vellore and which branch?,1,5,1/5,No,Followed,2020-07-25,https://www.quora.com/I-got-88-in-the-CBSE-boards-and-94-94-percentile-in-the-JEE-Mains-January-attempt-What-are-my-chances-of-getting-in-VIT-Vellore-and-which-branch,"Hi, Getting admission to VIT will not be the problem. Here, the main thing is that they are considering 12th marks primarily and then JEE Mains percentile as weightage. Many will there with more than 90% in 12th, but in your case JEE Mains percentile is the plus point for weightage. So admission will be a smooth process. Branch and fee can not be said as of now. Try your best in counselling. "
19,Vellore-Institute-of-Technology-Vellore,Will I get admission in any of the core branches of VIT Vellore or Chennai with a 75 percentile in the JEE Mains January and 94 percentage in boards (92-PCM)?,2,2,2/2,No,Followed,2020-07-25,https://www.quora.com/Will-I-get-admission-in-any-of-the-core-branches-of-VIT-Vellore-or-Chennai-with-a-75-percentile-in-the-JEE-Mains-January-and-94-percentage-in-boards-92-PCM,"You will have to wait for the rankings they release, and how much weightage is given to board marks and JEE MAINS marks. It will also depend how many people are applying for it and what are there ranking and marks, based on that rankings will be released. And only depending on ranking you can see what you will be able to get. Don't worry, they will announce how it will be done in a few days. All the best!! "
20,Vellore-Institute-of-Technology-Vellore,Will I get admission in any of the core branches of VIT Vellore or Chennai with a 75 percentile in the JEE Mains January and 94 percentage in boards (92-PCM)?,2,2,2/2,No,Followed,2020-07-25,https://www.quora.com/Will-I-get-admission-in-any-of-the-core-branches-of-VIT-Vellore-or-Chennai-with-a-75-percentile-in-the-JEE-Mains-January-and-94-percentage-in-boards-92-PCM,"Hello Prudent, According to your marks you will get rank around 35 to 46k According to previous year cutoff you will get core branch like Mechanical, Electrical in category 4 or 5 if you are looking for branch like Civil or Chemical than you will get in category 3.. Hope this helps you… All the best!!! "
21,Vellore-Institute-of-Technology-Vellore,Are the placements we see for VIT real?,0,1,0/1,No,Requested,2020-07-25,https://www.quora.com/Are-the-placements-we-see-for-VIT-real,"I have been researching about the Indian engineering education system since last 10 years. All the Indian engineering colleges inflate their placement stats because all such stats are made by Indian education mafia. There is NO concept of placement from VIT like fraud colleges. MOST of the degree holders from such colleges are shifted as clerks in the services based companies owned by the college owners. 3–4 LPA.There is NO concept of campus placement from such colleges because campus placement happens when an engineering company needs engineers and such companies visit many colleges to fill some core engineering positions. Since NONE of the companies carrying out campus placement at such tier-4 Indian engineering colleges do engineering but some random clerical works hence such companies are called as services based companies.IITs are going to die because of the fake news propagated by Indian education mafia: Praveen Kumar Singh's answer to What has happend to all the IITians who joined Google, Microsoft and Facebook at INR 2 crore salaries. Why do we not hear about them after they got recruited? I have solved the education and unemployment problem for Indian youth through my research on Indian education system. "
22,Vellore-Institute-of-Technology-Vellore,"I got 93% in my CBSE Class 12 Board exam 2020 and I had messed up my JEE Main January and got 60.43 percentile. What are the chances of getting VIT Vellore campus CSE, ECE?",6,4,6/4,No,Followed,2020-07-25,https://www.quora.com/I-got-93-in-my-CBSE-Class-12-Board-exam-2020-and-I-had-messed-up-my-JEE-Main-January-and-got-60-43-percentile-What-are-the-chances-of-getting-VIT-Vellore-campus-CSE-ECE,"Hi, No need to panic regarding the JEE as you can still see yourselg in VIT in your desirable branch. yeah but it is also a fact that you wont land up in top caterory fees the bracket that you will be given may be 5th category either in vellore or chennai campus. Even tho you are having a very good percentge in your 12th board examination. "
23,Vellore-Institute-of-Technology-Vellore,"I got 93% in my CBSE Class 12 Board exam 2020 and I had messed up my JEE Main January and got 60.43 percentile. What are the chances of getting VIT Vellore campus CSE, ECE?",6,4,6/4,No,Followed,2020-07-25,https://www.quora.com/I-got-93-in-my-CBSE-Class-12-Board-exam-2020-and-I-had-messed-up-my-JEE-Main-January-and-got-60-43-percentile-What-are-the-chances-of-getting-VIT-Vellore-campus-CSE-ECE,"Even though it's a good score it would be really tough to get into CSE/ECE/IT . It's the in demand branch of VIT . It depends on your final rank anything above 4k you can't get CSE (1st category seat). It is a good score (12th board), but still final rank depends on how many entries will be there. "
24,Vellore-Institute-of-Technology-Vellore,What are my chances of getting biotechnology in Vellore Institute of Technology this year? My PCB aggregate is 82.33% in boards.,1,2,1/2,No,Followed,2020-07-25,https://www.quora.com/What-are-my-chances-of-getting-biotechnology-in-Vellore-Institute-of-Technology-this-year-My-PCB-aggregate-is-82-33-in-boards,"Hii Shiv, At this marks I don’t think you will get biotechnology in VIT because they already mentioned that preference should be given to Jee Mains qualified students.. But don’t loose your hope keep expectations high it will encourage you and wait till result anything can be happen this year…. Hope this helps you… All the best!!!! "
25,Vellore-Institute-of-Technology-Vellore,What are my chances of getting biotechnology in Vellore Institute of Technology this year? My PCB aggregate is 82.33% in boards.,1,2,1/2,No,Followed,2020-07-25,https://www.quora.com/What-are-my-chances-of-getting-biotechnology-in-Vellore-Institute-of-Technology-this-year-My-PCB-aggregate-is-82-33-in-boards,"You have done very good in 12th board but as this time above 1–1.5L students scored above 90 percent in 12. So the JEE score will be the distinguishing factor, that you don't have. "
26,Vellore-Institute-of-Technology-Vellore,"My PCB aggregate is 82.33% in boards. Will I get biotechnology in Vellore Institute of Technology, Vellore?",0,2,0/2,No,Requested,2020-07-25,https://www.quora.com/My-PCB-aggregate-is-82-33-in-boards-Will-I-get-biotechnology-in-Vellore-Institute-of-Technology-Vellore,Indeed you are having not too bad rate in twelfth so there is opportunity to get a seat in vit vellore however dependent on some condition that will be you have to pay higher add up to the vit so you can get a seat in vit then no one but you can get a seat in vit. 
27,Vellore-Institute-of-Technology-Vellore,Can my daughter get CSE at VIT Vellore with a PCM percentage of 94 and a JEE Mains 70 percentile?,2,3,2/3,No,Followed,2020-07-25,https://www.quora.com/Can-my-daughter-get-CSE-at-VIT-Vellore-with-a-PCM-percentage-of-94-and-a-JEE-Mains-70-percentile,"Yes, ofcourse she will be able to get VIT, but main question is in which branch and which campus. Amravati and bhopal campus are easy to get. And core branches are also easy to get compared to CSE. She might not be able to get CSE or IT branch, but she should be able to get core branches in higher categories. (2-3-4) based on the branch and campus you want. "
28,Vellore-Institute-of-Technology-Vellore,Can my daughter get CSE at VIT Vellore with a PCM percentage of 94 and a JEE Mains 70 percentile?,2,3,2/3,No,Followed,2020-07-25,https://www.quora.com/Can-my-daughter-get-CSE-at-VIT-Vellore-with-a-PCM-percentage-of-94-and-a-JEE-Mains-70-percentile,"Hii Ma’am, Based on 12th marks and Jee Mains percentile marks your daughter will get rank around 42 to 52k rank.. From previous years cutoff she will get CSE at Vellore campus in Category 5.. Hope this helps you… All the best!!! "
29,Vellore-Institute-of-Technology-Vellore,What will be the result in VIT 2020 for biotechnology if the PCB score is 95 percent? Will I get biotechnology?,1,3,1/3,No,Followed,2020-07-25,https://www.quora.com/What-will-be-the-result-in-VIT-2020-for-biotechnology-if-the-PCB-score-is-95-percent-Will-I-get-biotechnology,"Hi Sripriya, You have done pretty good in board exam, You will definitely get Biotechnology in VIT Vellore but category may be 2. Category depends on no of students applied for this course. But don’t loose you hope expectations should maintain high it will encourage you.. Hope this helps you… All the best!!! "
30,Vellore-Institute-of-Technology-Vellore,What will be the result in VIT 2020 for biotechnology if the PCB score is 95 percent? Will I get biotechnology?,1,3,1/3,No,Followed,2020-07-25,https://www.quora.com/What-will-be-the-result-in-VIT-2020-for-biotechnology-if-the-PCB-score-is-95-percent-Will-I-get-biotechnology,"Yes, you can easily get Biotechnology in Category 2.can and I suggest you go for it if you want to go for higher studies as getting placed in a core branch that too with a descent package is very hard. "
31,Vellore-Institute-of-Technology-Vellore,Has the collaboration between ARAI and VIT canceled? Will it be worth it to join VIT for automotive engineering?,1,1,1/1,No,Followed,2020-07-25,https://www.quora.com/Has-the-collaboration-between-ARAI-and-VIT-canceled-Will-it-be-worth-it-to-join-VIT-for-automotive-engineering,"Yes, the collaboration got cancelled due to some management issues and yes it will be totally worth it to join the VIT for Automotive Engineering if you are not getting any other good IITs, as in VIT you will get a lot of opportunities to explore and the faculty members are also very supportive, the labs and practical information you get will help you to get good knowledge of the field and even the curriculum is very well set and helps you to understand the concepts. You will get a lot of opportunities to get selected in campus placement as well, even if you are just an average student. "
32,Vellore-Institute-of-Technology-Vellore,"I got 92.3 percentile in JEE Mains and I got 86.6 percent in CBSE, can I get CSE or civil in VIT Vellore?",5,2,5/2,No,Followed,2020-07-25,https://www.quora.com/I-got-92-3-percentile-in-JEE-Mains-and-I-got-86-6-percent-in-CBSE-can-I-get-CSE-or-civil-in-VIT-Vellore,"Hello aspirants, As you mentioned you are looking for Civil or CSE, From your marks and Jee percentile I can say you that you will grab seats in both but for CSE you have to pay higher fees but civil you will get in category 1 or max in category 2.. Hope this helps you… All the best!!! "
33,Vellore-Institute-of-Technology-Vellore,"I got 92.3 percentile in JEE Mains and I got 86.6 percent in CBSE, can I get CSE or civil in VIT Vellore?",5,2,5/2,No,Followed,2020-07-25,https://www.quora.com/I-got-92-3-percentile-in-JEE-Mains-and-I-got-86-6-percent-in-CBSE-can-I-get-CSE-or-civil-in-VIT-Vellore,"As you referenced you are searching for Civil or CSE, From your imprints and Jee percentile I can say you that you will snatch seats in both yet for CSE you need to pay higher charges yet respectful you will get in class 1 or max in classification 2. "
34,Vellore-Institute-of-Technology-Vellore,What is the expected cutoff for VIT and SRM CSE at the main branch according to board percentage criteria admission?,2,3,2/3,No,Followed,2020-07-25,https://www.quora.com/What-is-the-expected-cutoff-for-VIT-and-SRM-CSE-at-the-main-branch-according-to-board-percentage-criteria-admission,"Hi, This year as you all then examination were cancelled due to the COVID so the board examination were also cancelled and the mark wer given on the internal basic so huge number of student has scored a high percentage and were as JEE main score is also important this year. As a huge number of infant has high percentage so the cutoff will obviously go high this year. since VIT and SRM has fix percentage to qualify percentage for VIT its :- 60% for SRM its :- 65% student above this will only be welcomed in both SRM as well as in VIT and regarding JEE if you keep your percentile above 85% you can ge Continue ReadingHi, This year as you all then examination were cancelled due to the COVID so the board examination were also cancelled and the mark wer given on the internal basic so huge number of student has scored a high percentage and were as JEE main score is also important this year. As a huge number of infant has high percentage so the cutoff will obviously go high this year. since VIT and SRM has fix percentage to qualify percentage for VIT its :- 60% for SRM its :- 65% student above this will only be welcomed in both SRM as well as in VIT and regarding JEE if you keep your percentile above 85% you can get the seat through merit or else management quota is there to help you out. "
35,Vellore-Institute-of-Technology-Vellore,What is the expected cutoff for VIT and SRM CSE at the main branch according to board percentage criteria admission?,2,3,2/3,No,Followed,2020-07-25,https://www.quora.com/What-is-the-expected-cutoff-for-VIT-and-SRM-CSE-at-the-main-branch-according-to-board-percentage-criteria-admission,"Hello Abhijit, It’s very difficult to predict anything this year because first time VITEEE and SRMJEEE has been cancelled so now no one can tell you the exact cutoff but as they mentioned they will give preference to Jee Mains Students so I think Cutoff will be like:- For VIT:- Only boards-95+ Both board and Jee-90 and 85+ Less board percentage but good Jee-70+ and 90+ Hope this helps you… All the best!!! "
36,Vellore-Institute-of-Technology-Vellore,Can I get CSE at VIT Vellore in the first or second category? My JEE Mains percentile is 94.15 and boards percentage is 88.,3,3,3/3,No,Followed,2020-07-25,https://www.quora.com/Can-I-get-CSE-at-VIT-Vellore-in-the-first-or-second-category-My-JEE-Mains-percentile-is-94-15-and-boards-percentage-is-88,"Hi aspirant, Actually VIT is well known for CSE only. So the student give a hard competition here. so on this mark it wont be fair to say that you will fall in bracket of 1st or 2nd Thou you have the option of getting other branch or any of specialization of CSE either on the ground of VELLORE or CHENNAI campus. "
37,Vellore-Institute-of-Technology-Vellore,Can I get CSE at VIT Vellore in the first or second category? My JEE Mains percentile is 94.15 and boards percentage is 88.,3,3,3/3,No,Followed,2020-07-25,https://www.quora.com/Can-I-get-CSE-at-VIT-Vellore-in-the-first-or-second-category-My-JEE-Mains-percentile-is-94-15-and-boards-percentage-is-88,"Hello Ankush Agarwal, According to your marks you will get rank around 8 to 20k now see previous years cutoff and analyse in which category you will land.. Most probably you will get in category 2 but if no of applied candidates is more than you will get in category 3 for sure.. Hope this helps you.. Good Luck!!! "
38,Vellore-Institute-of-Technology-Vellore,Will I get VIT Vellore CS with 92 percent marks in boards (PCM) and 94 percentage overall? My JEE Mains January January percentile is 75.,2,2,2/2,No,Followed,2020-07-25,https://www.quora.com/Will-I-get-VIT-Vellore-CS-with-92-percent-marks-in-boards-PCM-and-94-percentage-overall-My-JEE-Mains-January-January-percentile-is-75,Yes you get CSE in VIT vellore at this percentage of board marks but the there will some issue regarding your JEE score which can held you back from getting on the ground of the CSE and if you get also you will fall in the bracket of 4th or 5th fees structure that also known as management seat. 
39,Vellore-Institute-of-Technology-Vellore,Will I get VIT Vellore CS with 92 percent marks in boards (PCM) and 94 percentage overall? My JEE Mains January January percentile is 75.,2,2,2/2,No,Followed,2020-07-25,https://www.quora.com/Will-I-get-VIT-Vellore-CS-with-92-percent-marks-in-boards-PCM-and-94-percentage-overall-My-JEE-Mains-January-January-percentile-is-75,Of course you will. Dont worry ever little things going to be alright. You can thank me when you pass 
40,Vellore-Institute-of-Technology-Vellore,Can I get admission in VIT Vellore (CSE)? I scored 97.6% in board examination and 92.40% in the JEE Mains.,2,2,2/2,No,Followed,2020-07-25,https://www.quora.com/Can-I-get-admission-in-VIT-Vellore-CSE-I-scored-97-6-in-board-examination-and-92-40-in-the-JEE-Mains,"You have very good board marks and mains is also okayish. So you have good chance for CSE. You should be able to get it in 3rd or 4th category or maybe even less in Vellore campus. What I feel is that, even difference of 1 percentile means there will be around 13k people ahead of you. There are only around 200 category one seats in CSE. And most people will prefer VIT CSE rather any lower NIT core branch. But all of these are just pure speculations, and might be very off. So wait for rankings to come out. They will producing result soon in August. "
41,Vellore-Institute-of-Technology-Vellore,Can I get admission in VIT Vellore (CSE)? I scored 97.6% in board examination and 92.40% in the JEE Mains.,2,2,2/2,No,Followed,2020-07-25,https://www.quora.com/Can-I-get-admission-in-VIT-Vellore-CSE-I-scored-97-6-in-board-examination-and-92-40-in-the-JEE-Mains,"Hi, The board score is really very good and based on that you will definitely get a good rank overall. With that you also have JEE Mains percentile also which is a plus point for admission. There will be many with better jee mains percentile, but your board score is also high. So there are high chances of getting CSE. Try your best in the counselling, whenever it happens. All the best "
42,Vellore-Institute-of-Technology-Vellore,Can I get an admission in CSE at VIT in the first category as I scored 94.6 percentage in the Andhra Pradesh board 12th exams?,4,2,4/2,No,Followed,2020-07-25,https://www.quora.com/Can-I-get-an-admission-in-CSE-at-VIT-in-the-first-category-as-I-scored-94-6-percentage-in-the-Andhra-Pradesh-board-12th-exams,"there is only a sign on the board, then there is nothing. There are only 200 places in the first category of the Velore campus, so you cannot get a CSE in the first category. "
43,Vellore-Institute-of-Technology-Vellore,Can I get an admission in CSE at VIT in the first category as I scored 94.6 percentage in the Andhra Pradesh board 12th exams?,4,2,4/2,No,Followed,2020-07-25,https://www.quora.com/Can-I-get-an-admission-in-CSE-at-VIT-in-the-first-category-as-I-scored-94-6-percentage-in-the-Andhra-Pradesh-board-12th-exams,"If you just have the boards marks, then no. You won't be able to get CSE in first category as there are only 200 seats in first category in Vellore campus. "
44,Vellore-Institute-of-Technology-Vellore,Will there be any entrance exam for an MSc in physics in VIT Vellore in 2021?,1,2,1/2,No,Followed,2020-07-25,https://www.quora.com/Will-there-be-any-entrance-exam-for-an-MSc-in-physics-in-VIT-Vellore-in-2021,"PHey There, Previously,I had a person asking me,about the procedure to get admission for MCA,at VIT. The same applies to M.SC degree aspirants. Link-What are the chances of getting admission in VIT for an MCA if I got a 7.2 CGPA in 10th, 60% in 12th, and more than 76% in my graduation 1st and 2nd year? Due to the outbreak,the VITMEEE exam for 2020 has been cancelled.Submission of 10′th,12′th and UG score will be enough,for direct admission. We do not know the situation for next year.Let’s hope that these dark times pass by You can refer to the link above,for more clarity I hope this cleared your quer Continue ReadingPHey There, Previously,I had a person asking me,about the procedure to get admission for MCA,at VIT. The same applies to M.SC degree aspirants. Link-What are the chances of getting admission in VIT for an MCA if I got a 7.2 CGPA in 10th, 60% in 12th, and more than 76% in my graduation 1st and 2nd year? Due to the outbreak,the VITMEEE exam for 2020 has been cancelled.Submission of 10′th,12′th and UG score will be enough,for direct admission. We do not know the situation for next year.Let’s hope that these dark times pass by You can refer to the link above,for more clarity I hope this cleared your query.For any more questions please drop a line. I will try to answer as many as I can. Cheers. "
45,Vellore-Institute-of-Technology-Vellore,Will there be any entrance exam for an MSc in physics in VIT Vellore in 2021?,1,2,1/2,No,Followed,2020-07-25,https://www.quora.com/Will-there-be-any-entrance-exam-for-an-MSc-in-physics-in-VIT-Vellore-in-2021,"Due to the outbreak,the VITMEEE examination for 2020 has been cancelled.Submission of 10′th,12′th and UG rating might be enough,for direct admission. We do now no longer realize the state of affairs for subsequent year.Let’s wish that those darkish instances byskip by I wish this cleared your query.For any greater questions please drop a line. I will attempt to solution as many as I can. "
46,Vellore-Institute-of-Technology-Vellore,What is the fee for a B.Tech in computer science and engineering in the management quota in VIT?,1,2,1/2,No,Followed,2020-07-25,https://www.quora.com/What-is-the-fee-for-a-B-Tech-in-computer-science-and-engineering-in-the-management-quota-in-VIT,"Above all else I might want to educate you there is no administration amount expenses this year viteee has dropped now they are offering seats dependent on twelfth imprints or jee score in the event that we talk about affirmation which is said by other administration quantity that vit offer seats under classification 5 which is 490000 every year for cse, eve, mech. I don't have the foggiest idea about your imprints so I cannot compose more than this. "
47,Vellore-Institute-of-Technology-Vellore,What is the fee for a B.Tech in computer science and engineering in the management quota in VIT?,1,2,1/2,No,Followed,2020-07-25,https://www.quora.com/What-is-the-fee-for-a-B-Tech-in-computer-science-and-engineering-in-the-management-quota-in-VIT,There are 5 categories in VIT as far as admission procedure is concerned.Category is determined by your rank. Category 1 has the minimum fees. Fees increases as the category is increased. Category 1 seats in all branches normally get exhausted within 20k-25k rank. hope this helps!!! . 
